name,mass (g),year,reclat,reclong
Aachen,21.0,1880,50.775,6.08333
Achiras,780.0,1902,-33.16667,-64.95
Agen,30000.0,1814,44.21667,0.61667
Akbarpur,1800.0,1838,29.71667,77.95
Alais,6000.0,1806,44.11667,4.08333
Albareto,2000.0,1766,44.65,11.01667
Aldsworth,700.0,1835,51.78333,-1.78333
Alessandria,908.0,1860,44.88333,8.75
Alfianello,228000.0,1883,45.26667,10.15
Allegan,32000.0,1899,42.53333,-85.88333
Allende,2000000.0,1969,26.96667,-105.31667
Angra dos Reis (stone),1500.0,1869,-22.96667,-44.31667
Apt,3200.0,1803,43.86667,5.38333
Asco,41.0,1805,42.45,9.03333
Atemajac,94.2,1896,20.06667,-103.66667
Aubres,800.0,1836,44.38333,5.16667
Aumale,50000.0,1865,36.16667,3.66667
Aumieres,2000.0,1842,44.33333,3.23333
Ausson,50000.0,1858,43.08333,0.58333
Avilez,146.0,1855,25.0,-103.5
Bachmut,18000.0,1814,48.6,38.0
Bandong,11500.0,1871,-6.91667,107.6
Barbotan,6400.0,1790,43.95,-0.05
Barea,3200.0,1842,42.38333,-2.5
Barnaul,23.2,1904,52.73333,84.08333
Barntrup,17.0,1886,52.0,9.1
Benares (a),3700.0,1798,25.36667,82.91667
Berlanguillas,1440.0,1811,41.68333,-3.8
Bethlehem,13.9,1859,42.53333,-73.83333
Beuste,2000.0,1859,43.21667,-0.23333
Bhagur,18.0,1877,20.88333,74.83333
Bialystok,4000.0,1827,53.1,23.2
Bishopville,6000.0,1843,34.16667,-80.28333
Bjelaja Zerkov,1850.0,1796,49.78333,30.16667
Bjurböle,330000.0,1899,60.4,25.8
Blansko,470.0,1833,49.36667,16.63333
Bocas,56.0,1804,23.0,-102.0
Boguslavka,256000.0,1916,44.55,131.63333
Borgo San Donino,1676.0,1808,44.86667,10.05
Bori,8600.0,1894,21.95,78.03333
Borkut,7000.0,1852,48.15,24.28333
Borodino,500.0,1812,55.46667,35.86667
Botschetschki,614.0,1823,51.33333,33.88333
Bradford Woods,762.0,1886,40.5,-80.08333
Braunau,39000.0,1847,50.6,16.3
Bremervörde,7250.0,1855,53.4,9.1
Bruderheim,303000.0,1960,53.9,-112.88333
Bur-Gheluai,120000.0,1919,5.0,48.0
Bustee,1500.0,1852,26.78333,82.83333
Butsura,29000.0,1861,27.08333,84.08333
Cabezo de Mayo,25000.0,1870,37.98333,-1.16667
Cabin Creek,48500.0,1886,35.5,-93.5
Cañellas,945.0,1861,41.25,1.66667
Cangas de Onis,34000.0,1866,43.38333,-5.15
Cape Girardeau,2300.0,1846,37.26667,-89.58333
Castine,94.0,1848,44.38333,-68.75
Castrovillari,15000.0,1583,39.8,16.2
Caswell County,1360.0,1810,36.5,-79.25
Cereseto,6460.0,1840,45.08333,8.3
Chail,0.5,1814,25.36667,81.66667
Chajari,18300.0,1933,-30.78333,-58.05
Chandakapur,8800.0,1838,20.26667,76.01667
Chantonnay,31500.0,1812,46.68333,1.05
Charlotte,4300.0,1835,36.16667,-87.33333
Charsonville,27000.0,1810,47.93333,1.56667
Charwallas,12000.0,1834,29.48333,75.5
Chassigny,4000.0,1815,47.71667,5.36667
Château-Renard,30000.0,1841,47.93333,2.91667
Chetrinahatti,72.0,1880,14.5,76.5
Cold Bokkeveld,5200.0,1838,-33.13333,19.38333
Conquista,20350.0,1965,-19.85,-47.55
Cosina,1200.0,1844,21.16667,-100.86667
Cronstad,3650.0,1877,-27.7,27.3
Cross Roads,167.0,1892,35.63333,-78.13333
Dandapur,5650.0,1878,26.91667,83.96667
Daniel's Kuil,1064.0,1868,-28.2,24.56667
Danville,2000.0,1868,34.4,-87.06667
Darmstadt,100.0,1804,49.86667,8.65
De Cewsville,340.0,1887,43.0,-80.0
Deal,28.0,1829,40.25,-74.0
Delhi,0.8,1897,28.56667,77.25
Demina,16400.0,1911,51.46667,84.76667
Dharwar,1800.0,1848,14.88333,75.6
Dhurmsala,32000.0,1860,32.23333,76.46667
Djati-Pengilon,166000.0,1884,-7.5,111.5
Doroninsk,3891.0,1805,51.2,112.3
Drake Creek,5000.0,1827,36.4,-86.5
Durala,13200.0,1815,30.3,76.63333
Duruma,577.0,1853,-4.0,39.5
Dyalpur,300.0,1872,26.25,82.0
Eichstädt,3000.0,1785,48.9,11.21667
Elbogen,107000.0,1399,50.18333,12.73333
Emmaville,127.0,1900,-29.46667,151.61667
Ensisheim,127000.0,1491,47.86667,7.35
Épinal,277.0,1822,48.18333,6.46667
Ergheo,20000.0,1889,1.16667,44.16667
Erxleben,2250.0,1812,52.21667,11.25
Esnandes,1500.0,1837,46.25,-1.1
Estherville,320000.0,1879,43.41667,-94.83333
Favars,1500.0,1844,44.38333,2.81667
Ferguson,220.0,1889,36.1,-81.41667
Forest Vale,26000.0,1942,-33.35,146.85833
Forsyth,16300.0,1829,33.01667,-83.96667
Frankfort (stone),650.0,1868,34.48333,-87.83333
Fukutomi,11620.0,1882,33.18333,130.2
Futtehpur,4000.0,1822,25.95,80.81667
Galapian,132.7,1826,44.3,0.4
Gifu,14290.0,1909,35.53333,136.88333
Girgenti,18000.0,1853,37.31667,13.56667
Glasatovo,152000.0,1918,57.35,37.61667
Gopalpur,1600.0,1865,24.23333,89.05
Gross-Divina,10500.0,1837,49.26667,18.71667
Grüneberg,1000.0,1841,51.93333,15.5
Gualeguaychú,22000.0,1932,-33.0,-58.61667
Gurram Konda,28.0,1814,13.78333,78.56667
Gütersloh,1000.0,1851,51.91667,8.38333
Hachi-oji,0.2,1817,35.65,139.33333
Haraiya,1000.0,1878,26.8,82.53333
Harrison County,680.0,1859,38.25,-86.16667
Hatford,29000.0,1628,51.65,-1.51667
Heredia,1000.0,1857,10.0,-84.1
Hessle,20000.0,1869,59.85,17.66667
Higashi-koen,750.0,1897,33.6,130.43333
High Possil,4500.0,1804,55.9,-4.23333
Holbrook,220000.0,1912,34.9,-110.18333
Homestead,230000.0,1875,41.8,-91.86667
Honolulu,2420.0,1825,21.3,-157.86667
Hraschina,49000.0,1751,46.1,16.33333
Hungen,112.0,1877,50.3,8.91667
Itapicuru-Mirim,2024.0,1879,-3.4,-44.33333
Jackalsfontein,48000.0,1903,-32.5,21.9
Jalandhar,1967.0,1621,31.0,75.0
Jamkheir,22.0,1866,18.75,75.33333
Jhung,5900.0,1873,31.3,72.38333
Jianshi,600000.0,1890,30.80833,109.5
Jilin,4000000.0,1976,44.05,126.16667
Jodzie,30.0,1877,55.7,24.4
Jonzac,5000.0,1819,45.43333,-0.45
Judesegeri,680.0,1876,12.85,76.8
Juvinas,91000.0,1821,44.71667,4.3
Kadonah,89.0,1822,27.08333,78.33333
Kaee,230.0,1838,27.25,79.96667
Kainsaz,200000.0,1937,55.43333,53.25
Kakangari,350.0,1890,12.38333,78.51667
Kakowa,577.0,1858,45.13333,21.66667
Kalumbi,4500.0,1879,17.83333,73.98333
Kangean,1630.0,1908,-7.0,115.5
Karakol,3000.0,1840,47.21667,81.01667
Karoonda,41730.0,1930,-35.08333,139.91667
Kernouve,80000.0,1869,48.11667,-3.08333
Kesen,135000.0,1850,38.98333,141.61667
Khairpur,13600.0,1873,29.53333,72.3
Kharkov,1500.0,1787,50.625,35.075
Kheragur,450.0,1860,26.95,77.88333
Khetri,100.0,1867,28.01667,75.81667
Khohar,9700.0,1910,25.1,81.53333
Kijima (1906),331.0,1906,36.85,138.38333
Kikino,195.0,1809,55.0,34.0
Killeter,140.0,1844,54.66667,-7.66667
Kirbyville,97.7,1906,30.75,-95.95
Klein-Wenden,3250.0,1843,51.6,10.8
Knyahinya,500000.0,1866,48.9,22.4
Krähenberg,16500.0,1869,49.32694,7.46472
Krasnoi-Ugol,2440.0,1829,54.03333,40.9
Kuleschovka,6000.0,1811,50.75,33.5
Kunashak,200000.0,1949,55.78333,61.36667
Kusiali,5.0,1860,29.68333,78.38333
Kuttippuram,45000.0,1914,10.83333,76.03333
Kyushu,45000.0,1886,32.03333,130.63333
La Charca,399.0,1878,20.66667,-101.28333
L'Aigle,37000.0,1803,48.76667,0.63333
Lancé,51700.0,1872,47.7,1.06667
Launton,1060.0,1830,51.9,-1.11667
Le Teilleul,780.0,1845,48.53333,-0.86667
Les Ormes,125.0,1857,48.35,3.25
Limerick,50000.0,1813,52.56667,-8.78333
Linum,1862.0,1854,52.75,12.9
Lissa,12800.0,1808,50.2,14.85
Little Piney,491.0,1839,37.91667,-92.08333
Lixna,5213.0,1820,56.0,26.43333
Lodran,1000.0,1868,29.53333,71.8
Lucé,3500.0,1768,47.85,0.48333
Lumpkin,340.0,1869,32.03333,-84.76667
Lundsgård,11000.0,1889,56.21667,13.03333
Luotolax,885.0,1813,61.2,27.7
Luponnas,14000.0,1753,46.21667,5.0
Macau,1500.0,1836,-5.2,-36.66667
Manbhoom,1700.0,1863,23.05,86.7
Manegaon,50.0,1843,20.96667,76.1
Marion (Iowa),28400.0,1847,41.9,-91.6
Marjalahti,45000.0,1902,61.5,30.5
Mascombes,1000.0,1836,45.36667,1.86667
Mässing,1600.0,1803,48.13333,12.61667
Mauerkirchen,19000.0,1768,48.18333,13.13333
Mauritius,220.0,1801,-20.0,57.0
Meerut,22.0,1861,29.01667,77.8
Meester-Cornelis,24750.0,1915,-6.23333,106.88333
Menow,10500.0,1862,53.18333,13.15
Mezö-Madaras,22700.0,1852,46.5,25.73333
Mhow,350.0,1827,25.9,83.61667
Milena,10000.0,1842,46.18333,16.1
Millbillillie,330000.0,1960,-26.45,120.36667
Minamino,1040.0,1632,35.07833,136.93333
Mineo,42.0,1826,37.28333,14.7
Mjelleim,100.7,1898,61.73333,5.93333
Mocs,300000.0,1882,46.8,24.03333
Mokoia,4500.0,1908,-39.63333,174.4
Molina,144000.0,1858,38.11667,-1.16667
Monroe,8600.0,1849,35.25,-80.5
Montlivault,500.0,1838,47.63333,1.58333
Mooresfort,3520.0,1810,52.45,-8.33333
Moorleah,8887.5,1930,-40.975,145.6
Moradabad,70.0,1808,28.78333,78.83333
Moti-ka-nagla,1500.0,1868,26.83333,77.33333
Mount Browne,11300.0,1902,-29.8,141.7
Mount Vaisi,17000.0,1637,44.08333,6.86667
Muddoor,4400.0,1865,12.63333,77.01667
Mulletiwu,25.5,1795,9.33333,80.83333
Murchison,100000.0,1969,-36.61667,145.2
Nagaria,20.0,1875,26.98333,78.21667
Nakhon Pathom,23200.0,1923,13.73333,100.08333
Nammianthal,4500.0,1886,12.28333,79.2
Nan Yang Pao,52900.0,1917,35.66667,103.5
Nanjemoy,7500.0,1825,38.41667,-77.16667
Nedagolla,4500.0,1870,18.68333,83.48333
Nerft,10250.0,1864,56.5,21.5
New Concord,230000.0,1860,40.0,-81.76667
Ngawi,1393.0,1883,-7.45,111.41667
N'Goureyma,37500.0,1900,13.85,-4.38333
Nio,467.0,1897,34.2,131.56667
N'Kandhla,17200.0,1912,-28.56667,30.7
Nobleborough,2300.0,1823,44.08333,-69.48333
Nogoya,4000.0,1879,-32.36667,-59.83333
Numakai,363.0,1925,43.33333,141.86667
Ochansk,500000.0,1887,57.78333,55.26667
Oesel,6000.0,1855,58.5,23.0
Ogi,14360.0,1741,33.28333,130.2
Ohaba,16250.0,1857,46.06667,23.58333
Okano,4742.0,1904,35.08333,135.2
Okniny,12000.0,1834,50.83333,25.5
Omolon,250000.0,1981,64.02,161.80833
Ortenau,4500.0,1671,48.5,8.0
Otomi,6510.0,1867,38.4,140.35
Oviedo,205.0,1856,43.4,-5.86667
Pacula,3400.0,1881,21.05,-99.3
Palinshih,18000.0,1914,43.48333,118.61667
Pampanga,10500.0,1859,15.08333,120.7
Paragould,408000.0,1930,36.06667,-90.5
Paranaiba,100000.0,1956,-19.13333,-51.66667
Parnallee,77600.0,1857,9.23333,78.35
Pavlograd,40000.0,1826,48.53333,35.98333
Perth,2.0,1830,56.4,-3.43333
Pervomaisky,66000.0,1933,56.63333,39.43333
Petersburg,1800.0,1855,35.3,-86.63333
Phu Hong,500.0,1887,11.25,108.58333
Pillistfer,23250.0,1863,58.66667,25.73333
Piquetberg,37.0,1881,-32.86667,18.71667
Pirgunje,842.0,1882,25.8,88.45
Ploschkovitz,39.0,1723,50.53333,14.11667
Pnompehn,96.0,1868,11.58333,104.91667
Pohlitz,3000.0,1819,50.93333,12.13333
Pokhra,350.0,1866,26.71667,82.66667
Portugal,4500.0,1796,38.5,-8.0
Pulsora,560.0,1863,23.36667,75.18333
Pultusk,250000.0,1868,52.76667,21.26667
Punganaru,100.0,1811,13.33333,78.95
Putinga,300000.0,1937,-29.03333,-53.05
Quenggouk,6045.0,1857,17.76667,95.18333
Quincay,65.0,1851,46.6,0.25
Rakovka,9000.0,1878,52.98333,37.03333
Rancho de la Presa,300.0,1899,19.86667,-100.81667
Rasgrad,24700.0,1740,43.5,26.53333
Rembang,10000.0,1919,-6.73333,111.36667
Renazzo,1000.0,1824,44.76667,11.28333
Revelstoke,1.0,1965,51.33333,-118.95
Uzcudun,20000.0,1948,-44.11667,-66.15
Richmond,1800.0,1828,37.46667,-77.5
Rivolta de Bassi,103.3,1490,45.48333,9.51667
Rochester,340.0,1876,41.08333,-86.28333
Rockhampton,1641.0,1895,-23.38333,150.51667
Roda,400.0,1871,42.3,0.55
Rodach,2900.0,1775,50.35,10.8
Sabetmahet,1250.0,1855,27.43333,82.08333
Salles,9000.0,1798,46.05,4.63333
Santa Barbara,400.0,1873,-29.2,-51.86667
Santa Isabel,5500.0,1924,-33.9,-61.7
Saratov,200000.0,1918,52.55,46.55
Sasagase,695.0,1688,34.71667,137.78333
Schellin,7000.0,1715,53.35,15.05
Schönenberg,8000.0,1846,48.11667,10.46667
Searsmont,5400.0,1871,44.36667,-69.2
Segowlie,6930.0,1853,26.75,84.78333
Sena,4000.0,1773,41.71667,-0.05
Seres,8500.0,1818,41.05,23.56667
Sete Lagoas,350.0,1908,-19.46667,-44.21667
Sevrukovo,101000.0,1874,50.61667,36.6
Shalka,4000.0,1850,23.1,87.3
Shergotty,5000.0,1865,24.55,84.83333
Shytal,3200.0,1863,24.33333,90.16667
Siena,3700.0,1794,43.11667,11.6
Sikhote-Alin,23000000.0,1947,46.16,134.65333
Silistra,0.15,1917,44.11667,27.26667
Sitathali,1600.0,1875,20.91667,82.58333
Ski,850.0,1848,59.73333,10.86667
Slobodka,2750.0,1818,55.0,35.0
Sologne,54.0,1860,47.36667,1.73333
Sone,17100.0,1866,35.16667,135.33333
St. Christophe-la-Chartreuse,5500.0,1841,46.95,-1.5
St. Denis Westrem,700.0,1855,51.05,3.75
St. Mark's,13780.0,1903,-32.01667,27.41667
Ställdalen,34000.0,1876,59.93333,14.95
Stannern,52000.0,1808,49.28333,15.56667
Stretchleigh,10400.0,1623,50.38333,-3.95
Supuhee,7235.0,1865,26.71667,84.21667
Tabor,7540.0,1753,49.4,14.65
Takenouchi,720.0,1880,35.38333,134.9
Tenham,160000.0,1879,-25.73333,142.95
Tennasilm,28500.0,1872,58.03333,26.95
Tieschitz,28000.0,1878,49.6,17.11667
Timochin,65500.0,1807,54.5,35.2
Tjabe,20000.0,1869,-7.08333,111.53333
Tjerebon,16500.0,1922,-6.66667,106.58333
Tomatlan,900.0,1879,20.16667,-105.21667
Toulouse,1030.0,1812,43.6,1.4
Tounkin,2000.0,1824,51.73333,102.53333
Tourinnes-la-Grosse,14500.0,1863,50.78333,4.76667
Trenzano,11800.0,1856,45.46667,10.0
Tuan Tuc,13100.0,1921,9.66667,105.66667
Tysnes Island,19860.0,1884,60.0,5.61667
Uberaba,40000.0,1903,-19.81667,-48.78333
Uden,710.0,1840,51.65,5.61667
Udipi,3600.0,1866,13.48333,74.78333
Umbala,100.0,1822,30.33333,76.33333
Utrecht,9700.0,1843,52.11667,5.18333
Vago,40.0,1668,45.41667,11.13333
Veramin,54000.0,1880,35.33333,51.63333
Verkhne Tschirskaia,8000.0,1843,48.41667,43.2
Vernon County,1500.0,1865,43.5,-91.16667
Vilna,0.1,1967,54.225,-111.69167
Vouillé,20000.0,1831,46.63333,0.16667
Wessely,3750.0,1831,48.95,17.38333
Weston,150000.0,1807,41.266667,-73.266667
Wiluna,150000.0,1967,-26.59278,120.32833
Wittekrantz,2200.0,1880,-32.5,23.0
Wold Cottage,25000.0,1795,54.13667,-0.41333
Woolgorong,36000.0,1960,-27.75,115.83333
Yatoor,13600.0,1852,14.3,79.76667
Yonozu,31650.0,1837,37.75,139.0
Yorktown (New York),250.0,1869,41.28333,-73.81667
Yoshiki,0.1,1928,34.16667,131.45
Zaborzika,3867.0,1818,50.28333,27.68333
Zaisho,330.0,1898,33.7,133.8
Zebrak,2000.0,1824,49.88333,13.91667
Zmenj,246.0,1858,51.83333,26.83333
Zomba,7500.0,1899,-15.18333,35.28333
Barratta,200000.0,1845,-35.3,144.56667
Bendegó,5360000.0,1784,-10.11667,-39.2
Bitburg,1500000.0,1805,49.96667,6.53333
Brahin,823000.0,1810,52.5,30.33333
Campo del Cielo,50000000.0,1575,-27.46667,-60.58333
Cape of Good Hope,136000.0,1793,-33.5,26.0
Cape York,58200000.0,1818,76.13333,-64.93333
Charcas,1400000.0,1804,23.08333,-101.01667
Chupaderos,24300000.0,1852,27.0,-105.1
Coahuila,2100000.0,1837,28.7,-102.73333
Cranbourne,8600000.0,1854,-38.1,145.3
Gibeon,26000000.0,1836,-25.5,18.0
Imilac,920000.0,1822,-24.20333,-68.80667
Krasnojarsk,700000.0,1749,54.9,91.8
Longchang,158500.0,1781,29.3,105.3
Lutschaunig's Stone,100000.0,1861,-27.0,-70.0
Morito,10100000.0,1600,27.05,-105.43333
Narraburra,32200.0,1855,-34.25,147.7
Prambanan,500000.0,1797,-7.56667,110.83333
Red River,800000.0,1808,32.0,-95.0
Santa Catharina,7000000.0,1875,-26.21667,-48.6
Santa Rosa,825000.0,1810,5.91667,-73.0
Ssyromolotovo,217000.0,1873,58.61667,98.93333
Toluca,3000000.0,1776,19.56667,-99.56667
Vaca Muerta,3828000.0,1861,-25.75,-70.5
Yanhuitlan,421000.0,1825,17.53333,-97.35
Zacatecas (1792),1000000.0,1792,22.81667,-102.56667
